,username,followers_count,following_count,user_tweet_count,listed_count,description,user_id
4790,AnnitaDemetriou,10380,2165,1836,53,"Αννίτα Δημητρίου, Πρόεδρος της Βουλής των Αντιπροσώπων Κύπρου / President of the House of Representatives (Cyprus)",412163612
4791,sreeramchaulia,3891,7,16330,0,"World Affairs Analyst, Dean at the Jindal School of International Affairs, India. Forthcoming book- 'Crunch Time: Narendra Modi's National Security Crises'",635246740
4792,petitegal62,4569,4576,8539,0,Proud daughter/sister of #USNVeteranFamily #49ers #NeilYoung #WillieNelson #VoteBlue2022 #GetVaccinated  #WomensRights #BlockedByMartin,23849323
4793,HueManBean,803,758,40016,47,No amount of participation with defacto governments will change anything. #SelfGovern #Voluntaryism NO DM’S! HAPPILY MARRIED MOTHER OF 3!,209586717
4794,Baoshoupai2020,19,212,3111,1,,1325971349165072384
4795,AreYouEdutained,778,1584,35463,92,Our aim is to entertain and educate you at the same damn time.,3037205607
4796,jimfrancam,109,627,1166,0,,878002647923658752
4797,Newwish0,292,338,1557,1,"Freedom, equality ,justice,truth,future. 自由、平等、正义、公理、未来。",1441095235673608194
4798,dilitas,622,585,94959,68,"A global strategic intelligence & corporate security company supporting legal, corporate & private sector clients. The can do, go to risk mitigation team.",133776482
4801,JayeTyler7,68,1028,252,0,"We're bobbing along in our barrel
Some of us tip right over the edge
But there's one thing really mystifying
Got me laughing, now it's got me crying
All my life",993978694204121088
4802,Joe_c_Ball,1582,700,2779,7,🏳️‍🌈 🏳️‍⚧️ Community Leader. Proudly Trans (They/Them pronouns) Earnest AF. Switchboard Victoria CEO. Views are my own.,348306084
4803,EsthervdHoorn,36,120,1978,3,Niets te melden,91990983
4804,JackJDees,1098,1133,55346,17,"Geordie, biker, vegan. 31 years service; Northumbria Police/ Met Police/Greater Manchester Police. 2nd career in academia. Animal sanctuary owner. NUFC.",1101137088
4805,juliediane,760,1050,22815,4,,17743925
4806,Totusporcus,956,1583,48771,0,"Former cavalryman, now at ease.",1327707069865218050
4807,MadCatWoman67,103,393,2016,0,Trainer/ Assessor/Love all animals,3059324673
4809,DRandall,1852,2340,137882,427,Sow Something To Eat 💞 USA 🇺🇸,9532792
4810,RubenLiceajr2,7,245,65,1,,1465814402830159878
4811,139rap139,2215,2969,5306,3,"He/Him. Vet student

@Refuge4Rathdown
@LeCheileDND",4710466343
4812,KarSugrue,2399,4859,13148,23,"Sociologist, psychotherapist, parent, Star Trek fan, intersectional feminist, political messaging nerd. #repealedthe8th. Co-convener of @together_safety",2576767964
4813,LeCheileDND,4124,175,1085,8,"Le Chéile is a cross-sectoral alliance working together to challenge the far right in Ireland.

https://t.co/nPACjBquSO

#DiversityNotDivision",1319793059102625792
4815,rogerppersson,88,96,968,1,100% recycable father of 3.,1206695312
4816,RedPillDetox,6369,4178,148339,7,"#Ω ½ human ½ bot who retweets #RESIST related hashtags every few minutes. #VetsResist #FBR ✊🏾⚖️♎️🏳️‍🌈
👉Follow me @R35i5T👈",939934915629670411
4818,kamil522,1,22,29,0,,248686371
4822,rlegaarden,575,1913,12103,6,#FuckTrudeau,22462514
4823,Bao__baooo,177,259,55847,1,#standwithhongkong  #手足互科,1166056317657604096
4824,HRH_Spice,14,161,1265,0,Randomly Tweeting 🤡,3630462075
4825,markayhali,109,599,12403,0,"Very proud Canadian, East Coaster, animal lover, she\her",721371450351972352
4826,po4936,46,323,342,1,Former Royal Marines Commando,3031888762
4828,SheerJameer,174,454,28080,5,Me,4886200005
4830,tasha_pnk,5634,996,2006,10,☆ RN | Marketing & Communications• Blogger • PG & 18+ Content Creator ☆ Opinionated | Neurodivergent | Autodidact | Non-Traditional Journey | I’m on TikTok! ☆,1351773678602739713
4832,RickNichollsCKL,8365,1362,2628,112,"3rd Term MPP Chatham-Kent-Leamington. Husband, father, prof spker/trainer, golfer, motto building biz by building people",531329861
4833,bradengw,1827,4628,86768,271,"From living w/my dad in a rented trailer in a cornfield to #Software #Engineer.   
Joined @USArmy at 17 years old
24L, #Vet, Ft Bragg M60 Gunner/M16 Expert Mm",44440275
4834,nypost,2412428,11035,450110,20301,"Breaking news & features from The New York Post. Follow your favorite sections: @pagesix, @nypmetro, @nypostbiz, @nypostsports, @nypfashion, @nypostopinion",17469289
4837,reximus172,79,102,31279,0,,975763952939520002
4838,gmacofglebe,11327,3032,75833,248,"Gov't Relations/Comms (former Parliament Hill, NS Legislature, Halifax City Hall staffer); political commentator via CTV/CBC/CPAC/SiriusXM's ""CanadaTalks"" etc",19203412
4839,afiqkays,197,186,13035,0,@naddyaamera ❤️💍,985568918
4840,wvwnvdwvw,692,458,75437,0,Makwe Yuki! 1️⃣4️⃣,375728948
4841,thisneedsafix,47,186,2687,1,,1445100960259493892
4842,andyluvv,2346,2207,67804,66,"- I stand in my gallery and I hold your sigil.
Will you talk to me?",25632677
4843,scotbruessel,756,792,9405,1,"humorist born nagoya, japan, lives in miami, grew up in chicago. retired finance dir. & cookbook author (wash your hands) finally, exiled royal from brussels :)",876780647766949888
4844,oeastender,501,2262,1168,1,Politics sometimes; cheese always; travel before COVID; Fan of large rodents and primates; #amwriting #writer #WritingCommunity #writing #Wordle,1066834105344524289
4845,PinguWoman,113,318,1733,0,full time carer for  Mr Ragtag.,2456976763
4847,Krantzstone,1102,5000,78248,34,Anti-racist/anti-sexism&misogyny/anti-homophobia&transphobia/anti-ableist/anti-ageist/anti-colonialist/anti-capitalist #Antifa #IdleNoMore #BlackLivesMatter,17619815
4848,parathachai,1220,3212,25700,1,"Shashtrokta Vedic Hinduism only  @govardhanmath  @sringerimath 
RT/comment  ≠ endorsement

#Dharma Sarvopari

#SAVEKASHI 

श्री राम जय राम जय जय राम
जय जगन्नाथ",1441385624762675208
4849,EloraDraven,29,205,8284,0,• GAIA • LUNA • Moving towards a new direction in life,1321878648429834241
4850,DutchCloggs,7652,6864,40523,15,EU Citizen. Investment Banker. Economist. The Original Woke Soy-Boy ❄️. Despised Federalist. Actually like veggie burgers. Use bad words. #FBPE  Me/We,899214619893485568
4851,CrazyMomma007,3422,4986,329057,22,"part time philosophizer/contortionist who suffers from insomnia, irreverence,and a smart-a*# attitude. Fan of Socrates and Bandura(shout out to BoBo the Clown).",261863668
4852,matange2,1271,1976,334695,2,"French/Italian, mom who loves to read, walk, cook & watch , baseball, ,football ,Hockey & Nascar with my family and friends!!",49608394
4853,Martin91821,336,171,13139,7,"Teacher, local steward, advocate for the arts, former #ETFO Provincial Committee Chair and local executive, creator: Art Grand Prix",901787402
4857,maddyeisenberg,6616,880,45368,86,"Mental Health Advocate I Traffic @CFRAOttawa | Harry Potter obsessed, minus the author | Proud Jew ✡️ She/Her🌈

DMs are open",87674057
4859,LaszloToonen,2093,2094,58869,1,FVD Lid Deventer koek,1234439672815931394
4860,Yvonne_Coco,106,26,383,0,,1350460753388703751
4862,jamesre59940581,73,191,3898,0,,982770297303715841
4863,Melaniehicks123,8,88,190,0,,1158436123057762304
4865,StijnSauviller,15,100,2720,3,,1435724189630189573
4868,Sacha_Lord,139313,2814,5459,175,"Night Time Economy Adviser for Greater Manchester. 

Co-Founder: The Warehouse Project/Parklife 

Insta: sacha_lord",179080160
4872,LACGFY,1023,1935,169808,4,Hate injustice.  Conservatives are everything that is wrong in politics. Liberal Party supporter and happily so. GFY is always my response to low-information kn,796839329368866817
4873,Jan571,733,2232,89274,7,Protecting public education is worth the fight. Vaccinate education workers quickly. Big thank you to Healthcare workers! Stay safe! Lecce worst MOE #FireLecce,48928700
4874,medicalinst,3523,3735,58971,80,"Public Awareness of sensitive health topics. #veteran, #patriot, #1A, #2A, #III, #USA Manager of the hashtag #publicawareness",167845105
4876,CO2Buildup,1070,2647,30605,9,"Love Bernie but its Biden vs Trump 
#BidenHarris2020 #VotingForBiden.  #M4A #Progressive #GreenNewDeal",4093997428
4877,852lover,9,21,848,0,,1482695375723307008
4878,Chauster74,18,160,148,0,"loves fishing, loves to play v-ball, loves listening to music, interested in cryptos.",49796844
4879,IainMulady,812,875,63007,6,"Words here that I think make me sound interesting. Falsehood flies, and the Truth comes limping after it",2174481686
4880,BowTiedAvocado,41,79,634,2,"Ex City of London, now retired into Crypto. New to crypto Twitter. Just here to talk about promising coins. Don't confuse me as an expert. Not financial advice.",1460262103261003777
4881,IMNCanada,784,331,13685,5,"A campaign to make autism therapy medically necessary under the Canada Health Act. Tweets by Adam. If you like something I say, please see the Pinned Tweet.",1136078995039117312
4882,Returns2Talos4,575,1557,19410,6,"""She has an illusion and you have reality. May you find your way as pleasant."" 🖖🏼 Love Loves and People Change 🕊 #TeachPeace
USAF Veteran navigating CPTSD 🐢",1432839346764275712
4884,ItsChrisGreene,4270,311,94070,82,#chrisgreene • @lovingthefilm @queenonusa @atlantafx @natturnerfilm @theconjuring & creator of @detourent @typecassting & @loaa_365 !,21956433
4886,RalphTheLiberal,983,2422,26042,15,"Writer. Intl/US politics expert. MA Economics. Common sense Liberal. Anti-woke. Atheist. With sense of humor. All ab science, nature & space exploration 🚀",256575331
4887,grahamwettone,9047,8591,70899,81,"Author, 30 years police experience. Policing commentator for tv & radio. Father, football fan & golfer - Ambassador for #truehonour 

https://t.co/1HDbhaAg5x",835535851
4889,WitchyDee2,65,287,1869,2,Pissing off the patriarchy since 1067.,1372667257592090625
4890,GongHoeng,154,216,68948,1,,1286688760025948160
4891,gflaterr,2560,1235,76194,0,"(Occult) History, Babylon, Egypt, Templars, Masons, Jesuit mafia. Psychology, VAXXED, BIG Reset, The Matrix / Quantum Physics, Ethereum / Cryptocurrency",2375195160
4892,MyriamRayani,267,760,10855,0,"Écologiste, ET EN MÊME TEMPS progressiste.🍃🔬
Lgbt, ET EN MÊME TEMPS réfute l'intersectionnalité.
Libérale sur les mœurs, ET EN MÊME TEMPS sociale-démocrate.",1230212289330077696
4894,uferguso,485,92,5682,5,"RN ., past Chair of Staff Nurse Interest Group",392324692
4895,BrainwashingDad,8374,3542,17408,59,"Award-winning film (and now, book) about @FOXnews, exposing the shocking truth behind the right-wing media machine that changed a father–and divided the nation.",1604351990
4896,JapePuntila,322,555,18079,0,"Politiikan seuraaja, yleisten asioiden päivittelijä, vaativa asiakas, veronmaksaja. Blocked by @HelsinkiPoliisi. Crazy ain’t original no more.",900012558815559680
4897,geministar444,471,600,13834,4,Greek Island’s 🇬🇷 and Rural Spain 🇪🇸 is my thing 🌴☀️✈️☀️ Love Travel  Hate Lockdowns,3331382020
4898,Moomareborn,246,1093,28299,2,,343539210
4899,45Carly,119,436,7980,0,Live in the beautiful West Highlands of Scotland. Fighting with MS every day. I love metal & I believe laughter is the best medicine. Support Police always!! 🚔,419839635
4900,RKamtimski,45,165,108,0,A secondary educator living my so-called life in Ontario.,1477402545719070720
4902,bwalshRE,3037,3172,3956,13,"Award Winning Residential Real Estate Specialist / Associate Broker in Monmouth County, NJ brian@realtyexperts.io",45049091
4903,nestedhome,124,893,9139,4,concerned citizen,21411929
4905,uswarrier,4783,4886,30931,2,"Science Politics Fiction Tennis Pets #persist 🦟 ""Eight goats in a pen""",17536607
4906,DiorIzzy,1226,695,130274,7,"Mom, Wife, Daughter, Sister, Physician, Immigrant. Views are my own. Live Boldly! Live Well! Live! Add me to lists = blocked 🤨",1513883888
4907,ZonkerPA,4077,3591,31424,103,"""Loyalty to the Nation all the time, loyalty to the Government when it deserves it."" AND ""Go to Heaven for the climate, Hell for the company."" - Mark Twain",248270337
4909,wtfis2bdone,1467,1422,22166,13,"Prof @UofT_PolSci,@UofTReligion; pol theory, postcolony, the end of days, #DemonSperm.(Political Spiritualities, @UChicagoPress). Solo mum of 3. Views mine.",1280565300719759360
4911,jayyen13309819,23,358,1712,3,Crypto Investing Tree Hugger #Bitcoin,1401398811159826434
4913,EverettTAFulton,297,498,7732,1,,855955369830395904
4917,mjmjmjmj_mj,746,813,140478,1,Im here for talking to myself LOL #crypto #stock,1096217111817379840
4918,HoleMaximus,1959,4703,58459,15,"🏳️‍🌈🇨🇦🇪🇨🕶️🌊🏋️‍♂️ Into leather, bears, quantum mechanics. I drink and derive.♟️🕳️",948225865892188161
4919,Tweetingnowforu,232,180,9817,0,learning through the Twitter verse....just as weird as IRL....and maybe just maybe I get into Twitter fights....oops…. 🐈 🐈‍⬛ 🐈,3170429134
4921,thestranger515,101,42,8468,3,,1384573120070045697
4922,Wildwilly1000,1733,2804,144863,1,Supreme Leader,3435601349
4923,jo_jlsr3353,2585,3098,44043,0,"Against: #racism #Nazis, #Fascists/#GOP #Conservatives #Evangelicals I'm a fan of truth, justice & the progressive way; rights for all. #pride #noh8 #vaxxed",890653225430528005
4924,eluminata,149,1908,7642,2,"”In a dark time, the eye begins to see...” ~ Theodor Roethke  &  ”...for all her sweetness, s/he had the tiger & the jackal in her soul.” ~ Voltairine de Cleyre",26061757
4925,dwallacewells,81700,2487,34413,1522,"Central Park East, New York magazine, THE UNINHABITABLE EARTH.",260478229
4927,RestoringFreed1,247,427,13538,2,"American, Phoenician, Sun Devil, Attorney. #1A #2A #constitution #RVAT #CountryOverParty",1227372429938315265
4928,Freeyourmindkid,91220,29236,224797,519,"I will be laughing all the way to Trump's secret prison.

Creator of https://t.co/1FoGTgGl3j",120995738
4929,fridovichlee,1600,2915,11166,124,"Realtor, educator, writer, mar/com, editor, photographer, groupie, mom, nature lover, Paleo lifestyle practitioner. My tweets are my own.",64400751
4930,HarrietCammock,1226,1087,39701,36,"#DownToEarthWithHarrietCammock Podcast | Author | Advocate | Founder, The Exodus Foundation @MichExodusOrg",50214652
4931,mikeyfuzz,132,244,6349,3,"A normal guy with enthusiasm for Transformers, Soccer, and most things geeky.",28009338
4932,outward_rant,400,470,41843,3,"Jaded, pissed off 🤬, and Zero Fs left to give #ENOUGH #BLM #TakeAKnee #MenForChoice #Ally #NoHate #Resist",879759021741400064
4935,megacoolmike,97,262,12972,8,"My take on the things I read in the papers, see on TV and find on the Internet.",453480269
4938,owenpaun,2344,2325,25333,77,"Pilgrim. Former politico from Los Angeles, exiled to DC, kicked out of Russia, landed in the Balkans, back home in Virginia.",13684002
4940,turquoiselau,424,1043,10034,10,"I'm just a mum that has left TLE - Focal Onset Impaired Awareness Seizures, TLE related brain fog, and epic teal hair.",389994403
4942,JbcConseils,153,353,3566,1,"La nature ne fait rien en vain.
Je cherche la vérité simplement parce ça désamorce la guerre du complot NWO satanique, elle n,est pas fini.",4194612365
4944,AagjeEm,372,331,36849,1,"Moeder, vrouwtje, vriendin, collega en buuf. Antivaxxers, wappies en fascisten worden preventief geblokt. Schelden, trollen, ad hominem = direct blok.",331573877
4945,DrZemouri,7532,823,9612,68,PhD infectious diseases #COVIDIsAirborne | 🇲🇦 | Some Twitter Rants | Amsterdam based | Most tweets are in Dutch | Polyglot | #HoezoNietGeintegreerd,1282993019210403843
4946,lindaholmessask,2761,5002,43266,25,"spouse, mother, oma, feminist, reader, CBC fan, supporter of the arts, United Church, NDP 🇨🇦🏳️‍🌈 #abortionrights #blm she/her",1893810420
4947,Young56Donna,94,579,4424,0,"Old Leftie who loves scrabble and teaches anthropology. Would love to live in the country, but lives in Suburban Toronto. How on earth did that happen?",1431341613012426758
4948,crandle,1390,2147,14372,35,"#BLM #MeToo  #AntiFascist #MAMA #WeNotMe
#Facts. Sometimes snarky.  she/her",15890939
4950,MandyCGolfer,116,540,5264,0,"🇨🇦 Retired teacher, OSSTF, curler🥌 & golfer🏌️‍♀️",2547034206
4954,rollwithheather,2143,4256,15809,25,"Author, publicist, World Fantasy Award-nominated editor, cat lover, feminist",493485385
4955,janedoe83372482,256,1169,1982,0,"Pour les enfants
For the children
Canada convoy 2022",1446238755245989889
4956,bad_epi,114,126,630,7,"I epi very positively, in another sense. Positively, towards negative.",1270584965185617920
4957,Eurotrash14,47,222,5699,1,"Visit me at:

https://t.co/xsnwSUDr7e",1133992296943366144
4958,CharCampbell6,0,3,54,0,,1488491051535015941
4960,fj3isback,584,355,130611,0,#MAGA. #JoeBidenHasDementia,1024045619227316224
4962,KevinLa04924670,1827,2781,87736,2,,952614825221414913
4963,usefulinfo101,327,51,77780,60,"I am a campaigning kind of person.
I would ideally like to be sponsored to do some sponsored/promoted tweets,could save some public money if such were possible",139203034
4964,sendian82,186,350,4690,2,"Personal Account. Probably bitching about something. 

Photography work: @jlm_pix",1240997430209859586
4965,raehanbobby,506692,209017,217233,4832,"5x @TEDx | Inc Mag Top 100 Speaker, Heart-Leader, Networking, Personal Brand, Storytelling & Parenting | Coach, Author, TV Host, Comedy Actor, GMAT pro, Daddy",91942071
4966,LilLapra,139,759,96199,2,"hello, this is bunnygoat 🔞because lewd RTs. 35/Meat Popsicle/Bumblefuck. He/him. Avatar by the incredible @InkEtch",1131607089934217217
4969,TXWomenRESIST,1267,1310,41773,6,"Proud RESISTANCE member, Pagan, pro-choice. Ignorance can be helped but you can't fix stupid. When people show you who they are, believe them. #Bills Mafia",890744967546773504
4970,jmaxxd1,1917,2288,127165,7,We need a font for sarcasm.  Profanity is the punctuation of my mind.  Income tax returns need a comments section,4376648537
4971,DiLaheurte,1216,160,121650,236,"Planet Earth & HumanKIND; 6th gen colonist settler, Stephen King buff & old book collector. ""Canadienne"", épouse, Mom, Grandma, sister, friend.  ☮️❤️🌎",1344351572
4972,CountFey,32,200,773,0,,1426931331469127680
4973,thewebbix,30998,30641,212949,133,"Beach/RV life • Hippie • Love People • Love Music • Every day I wake is a good day, no worry if I don’t. • I LIVE BY: It is what it is. • View #NewDayNewChance",32399655
4974,TheUSASingers,98956,20868,74125,184,"We are the first band of The #Resistance. Our hilariously thought-provoking debut record, The Orange Album, is now available on Vinyl, CD & Digital. 🤘🇺🇸🍊",832616065259614209
4975,mommamia1217,147673,104126,254993,132,#Animal❤️#LGBTQally🌈 #JewelryArtist #Cleveland #Feminist #TypoQueen 👸🏼#LegalizeIt #BLM #WordNerd ✍🏻 #Browns #Italian #Mangia 🇮🇹 #Foodie 🍽 #VOTE 🗳,271075882
4976,ChadJessome,364,3504,10347,7,"26. I do stuff I guess. Somewhat political. We punch nazis here. Black lives matter. Trans lives matter, Lgbtq+ lives matter.",707372519590854656
4978,GeneZog,7111,7324,139908,9,"As a US Marine, I will always be me, simple, honest & true !! Do whatchu gotta do & move 4ward ☺ !! #Resist 4ever 🇺🇸 Be strong 💪! #fbr 🛑#magats 🚫DM's=block",3069936173
4979,KeysMan19,3500,3476,5305,2,EquityTrader.Followed by.@GlennKirschner2.@joncoopertweets.#BLM.#DACA.#AnimalRights.#BanTrophyHunting.#Ecocide.#ClimateChange.#CleanSeas.#IndigenousPeople.,1303339542603276289
4980,Shellbeallz,12,59,31,1,,1451353516979724293
4981,MPB1960sModel,613,1253,10803,1,"Gay man, Animal lover, Human 
18 years in a relationship, Equal Not Less Than
Update... 20 years now.",1179108111736623105
4984,JIJ86903890,541,5002,51300,1,I’m deaf and dumb and I’m a Manchester United fan,1371967700168232963
4985,BABESOFINSTA22,84,200,615,1,"Fun,Hot,Cute & Sexy pics of women on Instagram that I think deserve sharing,Like and share if you agree",1483051921053302785
4988,macg1llivray,3602,2334,37985,64,"Web developer, musician, he/him",50154666
4989,TheMovieProjec1,474,280,157720,2,"Triple-vaxxed Pfizer/Moderna/Moderna
Now are all my enemies here in this place.I will plague them all to roaring! 
No Lists, No Spaces-automatic block",1170897985
4990,extrablessed2,86,61,3959,1,✝️Attitude is the barometer through which u can predict a person's future success today. (Note: Views are my own. Retweet or like not endorsement),885009715
4991,VPrasadMDMPH,174942,2030,25908,1810,"Medicine Oncology Science Policy
Academic Pubs @vkprasadlab
Podcast @plenary_session
Clips on YouTube 👇
Books EMR & Malignant
Prof @ucsf_epibiostat
Views mine",1194962714
4992,canayjun,4808,4868,7535,119,Advocate for the homeless. Passionate people person. Love is all we need. 🇨🇦 #FBR,19051297
4994,myronjclifton,4549,2139,3425,7,Deardean22. Find me here: https://t.co/jsM3meXuhq,1483794432793010178
4995,theboybailey69,427,788,8202,1,🏳️‍🌈🇬🇧 Out and Loud LGBT+ 🇬🇧🏳️‍🌈 just an old fashioned liberal 👍. Centre Left / Centre Right. Gay but never Queer. Politically Homeless.,315136506
4996,leanne_cali,3057,3567,160309,3,💋Well behaved women💋seldom make history💋#BuildBackBetter #VotingRightsAct #IndictTrumps #J6thCommittee #2022MakeManchinIrrelevent #SeditionHasConsequences,452663094
4997,warrenleightTV,61205,4673,90214,0,"Showrunner:SVU,CrimIntent,Lights Out,In Treatment(NAACP, Imagen, Peabody Awards). Playwright (Tony Award, Side Man). Jazz, Knicks, Mets. I exist only in Zoom.",239892125
4998,HaroldWSchranz,81,507,2078,5,Research Scientist and Computational Consultant with expertise in modelling. https://t.co/GksRsrwFRU,21937218
4999,The_Real_Stien,266,322,8299,1,A Canadian SciFi and Fantasy enthusiast. History nerd. Space socialist. Will blog about it constantly. 🇨🇦⚔🚀https://t.co/pDeMV7DAqo,832053022675103744
5004,SmileAllthetim4,2755,4999,66330,4,Beancounter,1101599164427837440
5006,LeoLee1111,1008,1097,2796,2,,938206126755205120
5007,JanetSt0831,1307,2567,53476,2,2020 will either be the year we save America or the year we lose it all. #Trump2020 #AmericaFirst #2A No DMs Parler @Janet68,906610611815141381
5008,MRuss79935209,3,68,134,0,,1450274194759974914
5009,BerniceRichsrd1,1,66,156,0,,1306085273839611905
5010,CatarinaLigia,38,486,1210,0,,371931907
5011,RoseMa08,842,1661,62882,2,So Mark Harris won't be going to jail for election fraud??? No trial? No Justice?,960178484252352513
5014,imichaelallegri,18,230,60,2,"London 🇬🇧
Reinventing myself ✈️",1479939739738333187
5015,usman_ayaz,7,101,1182,0,,931375256
5016,BeardedPug1,174,193,16419,10,There is no longer a #COVID19 state of emergency in Washington State! END THE MANDATES NOW!!!,1325511037919981568
5018,nusssreiner,26,75,747,0,,963827689193951232
5019,xandaodalapa,2620,765,351219,74,,1175390274
5020,onyxlarue,36,86,601,3,I am a Man's Man. I am who I am and make no apologies about it.,35646104
5022,quackmt,84,161,4237,0,I am a big time Ohio state football fan. I only judge a person by their actions and nothing else. Marine corps veteran. combat Vet Kosovo and Iraq,56577680
5023,laurenboebert,857471,1156,5811,2554,Lauren Boebert for Congress Account: Congresswoman for CO-03. Owner of Shooters Grill. I’m the mom who told Beto HELL NO you’re not taking our guns!,1201670995435646976
5024,PoliticalCupid,2222,2626,160907,0,"Just a sweet little cherub interested in politics. My tweets, my opinions only. Retweets = interesting. I follow US and Canadian politics.",824825637676294144
5025,jasonge86172075,119,126,4266,1,,1179063879101534208
5027,rytweeter,11,106,388,0,Interests: #crypto #trading #photography #polysomnography #film #politics #tennis,1483881288050397184
5028,MagicAlicornCA,56,373,15276,0,,730625607931826177
5029,IwillHavefun,19,66,3148,0,"Not a bot; and don't care how many followers I have.Fully vaccinated, including booster. I wear a mask; even at #Orangetheory",3403747516
5037,judithannv,108,60,4253,1,,2840889091
5038,DBenson77,1185,4229,37324,3,"Educator, Involved Daughter, Wife, Sister, Aunt and Friend; Opinions are my own, willing to listen to other perspectives, open to learning! 🇨🇦 🌈 🌎",1102773540741275648
5040,RikiMme,374,875,26213,0,"---- First gen settler,  wannaba dancer in The Hammer 🔨 3rd Dose",1227022725824294917
5044,ResistingMimi,1373,2139,18263,0,"I am a wife, mother, grandmother, educator and lifelong Democrat. I do not respond to DMs!",26644128
5046,AuntyMike22,340,416,65048,1,"Nobody special. But, I care.",2675364056
5047,DanPeterson15,967,1096,7457,1,"Historian, author, former educator and coach- #TrumpForPrison #TheResistance - card carrying member of Antifa 🙄",752348966
5048,The_Fotoholic,6843,721,20138,238,Retired Pro Photographer. X Forces. X PS Follow for Photography Travel and Adventure/Photowalks/Meet up’s/retweets Art /Conservation https://t.co/brH8ehBabB,2376002820
5050,laurielew1966,5414,5890,62241,3,"#Medicare4All  #BLM #Resist
#VoteBlue2022 

Republicans are a danger to our democracy 

no DM's, I just delete them.",2161473403
5052,curtisc5105,3905,4271,43672,9,"#wtpBlue * #ONEV1 z27 * #BlueVoices * #DemVoice1 A * #SafeAct & #HandMarkedPaperBallots * Dad, Husband, USAF Vet 1970.",357506382
5053,AJAlbertJacques,54,324,13190,2,"Know-it-all professionnel, tous sujets confondus.",833336455929946114
5054,WeTheWestt,52,283,1566,0,,2427629577
5055,Back_dafucup,39008,30290,82271,23,Fighting for justice! HBIC 👑 Mama. Married to a USMC Vet. #BLM✊🏿✊🏾LGBTQ ally🌈 LIBERAL! I bleed blue 💙 The night is darkest before the dawn. 🌃 🌇🦇,1054816333605392384
5056,cynthiakiker,7473,7703,214561,8,"🌊#Resist 🗽#StrongerTogether
 #drcole",62880951
5057,KmicchKevin,3795,4654,105121,2,"retired futures floor broker,political news junkie ,sports fan , dead head since 1973 ,dog lover , married , liberal , resister , progressive,☮️🏝🍷🌈😎🎶",4548360677
5058,jeber,3403,4948,25475,10,"Dogs & cats 👍, former ASA/NSA intel analyst. Former admin for Lockergnome/Scot Finnie forums. Retired from a bunch of stuff. No crypto/NFTs. Humanist.",1549841
5059,LindaLarsonKemp,2687,5000,288892,78,"knowledge explorer, systems thinker, dot connector, business analyst, decision modeler, shared understanding designer, social innovator, overall instigator",157383853
5061,ak2webd3,3769,5003,397894,802,Grand Negas LatinumFund https://t.co/VeK4XJgrqy 1st$ @MayvennHair Alum @Apple  @MarketSourceInc Expert @GLGroup Angel$ whenitsGr8$4me2 https://t.co/gvK1kbaNnX 510,7776912
5062,WUTangKids,99466,948,693,292,"Politics, Sports, Music",1359581713198960647
5063,seahagnw1,9543,10417,34064,1,#Resistance 💪 🌊🌊🌊 #BlueVoices for Progress 🌊🌊🌊 🧜‍♀️ Sailor/Mermaid 👍3x Cancer Survivor 🌱Plant Medicine🍃Boomer ☮️☯️  🚫NoDMs Pls,814654909723262976
5065,Russbowes,38,21,3188,0,,1456371867086901250
5066,MurcanFogey,10,31,1313,2,Old skeptic,1431993510614470661
5067,LKritiek,13,56,1093,0,,1414878387802451981
5068,mariannezw,90366,988,132017,485,Gelukkig mens | Schrijver | Innovatiestrateeg | Columnist BNR & Telegraaf | Podcastmaker NPORadio2 | Keynotespeaker | Dagvoorzitter | Boekingen: @bukmanm,47743604
5069,Rox43398297,256,542,46610,0,"we are pressed on every side, yet not straitened; perplexed, yet not unto despair; Corinthians4:8",1167622160220733440
5070,Katpa73,34563,20126,174147,35,Warrior for all Humanity 🦅Surviving with Sarcasm & 🎶 🌍 Not always polite. The future is forward not back #ClimateCrisis #BlackLivesMatter #LGBTQ #LegalizeIt,1648203012
5071,TheBeach2018,3397,3624,51940,9,"On Twitter 14 yrs. Set up a new profile so I can be anonymous. Centrist. Intensely despise IQ45, so glad he’s DONE! I mute Maga 🤡 Real Christians get vaxxed!",1047453954391592960
5073,capebretonpost,24647,813,81326,254,Breaking news and live events on Cape Breton Island at your fingertips.,94138272
5074,MemphisFor,713,1406,5461,1,Biden 2024 🥁💎,1133188444472188928
5077,ok48625955,69,144,532,0,im exhausted,1395450851121111043
5079,lmjanaske,238,1642,7663,4,"#imessential
#stayhomestaysafe
#trumpisafuckingidiot
#bluewave
#911saves",805557998131281920
5080,XRANDYANDERSONX,9502,2933,27611,47,"Vaccines remain the best way to reduce your risk of severe illness, #BLM  #NeverForgetJanuary6th #ShutdownFoxNews  #ArrestTrumpNow #antitheist",75833284
5083,MelissaJPeltier,61633,12205,616320,0,"#Emmy Winning Film & TV Writer/Dir/Prod/NYT Bestseller WGA, DGA, PGA. Pilgrim descendant. Pro-Animal. Anti-Hate. Director, ""The Game Is Up"" for @dignitypac",18184205
5084,ProudAFAmerican,7300,7852,61732,12,No DM's please! Democracy must be defended Travel anywhere  I've visited over 40 national parks. #DemVoice1  #FBR #wtpEarth,1085290065490632704
